,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Ust'-Kut,0,RU,1587698163,45,56.79,105.77,48.34,4.27
86,Upernavik,3,GL,1587698164,97,72.79,-56.15,24.8,7.78
87,Itarema,90,BR,1587697887,87,-2.92,-39.92,77.0,3.44
88,Bethel,90,US,1587697944,48,41.37,-73.41,44.01,3.36
89,Xinzhou,0,CN,1587698164,16,38.41,112.73,62.26,15.26
90,Ballymena,100,GB,1587698164,80,54.86,-6.28,46.4,2.24
91,Kidal,0,ML,1587698165,12,18.44,1.41,84.18,13.76
92,Qaanaaq,58,GL,1587698165,90,77.48,-69.36,10.99,3.18
93,Gouyave,20,GD,1587698165,88,12.16,-61.73,77.0,13.87
94,Bluff,90,NZ,1587698165,63,-46.6,168.33,60.01,8.99
95,Imeni Poliny Osipenko,100,RU,1587698166,68,52.42,136.49,37.36,18.59
96,Medvezh'yegorsk,100,RU,1587698166,96,62.92,34.47,28.06,3.69
97,Castro,2,BR,1587698089,72,-24.79,-50.01,53.15,4.54
98,Hasaki,75,JP,1587698166,58,35.73,140.83,61.0,10.29
99,Henties Bay,0,NA,1587698166,91,-22.12,14.28,60.01,1.99
100,Diffa,0,NE,1587698167,13,13.32,12.61,82.96,9.01
101,Port Elizabeth,75,ZA,1587698167,93,-33.92,25.57,59.0,2.24
102,Souillac,66,MU,1587698167,89,-20.52,57.52,75.99,8.99
103,Colac,49,AU,1587697970,80,-38.33,143.58,61.0,1.99
104,Yulara,37,AU,1587698167,19,-25.24,130.99,91.4,8.05
105,Grindavik,90,IS,1587698168,93,63.84,-22.43,41.0,14.99
106,Puerto Madryn,96,AR,1587698168,69,-42.77,-65.04,61.07,11.56
107,Tuktoyaktuk,20,CA,1587698168,77,69.45,-133.04,-2.2,9.17
108,The Pas,1,CA,1587698168,89,53.83,-101.25,42.8,5.82
109,Lüderitz,92,NA,1587698169,60,-26.65,15.16,71.6,8.05
110,Mar del Plata,75,AR,1587698169,93,-38.0,-57.56,63.0,9.17
111,Impfondo,72,CG,1587698169,80,1.64,18.07,73.65,0.98
112,Lagoa,100,PT,1587698169,82,39.05,-27.98,59.49,7.2
113,Sibolga,48,ID,1587698170,60,1.74,98.78,88.34,1.7
114,Te Anau,98,NZ,1587698170,60,-45.42,167.72,53.96,8.72
115,Port Alfred,100,ZA,1587698170,95,-33.59,26.89,63.0,3.0
116,Isangel,75,VU,1587698170,78,-19.55,169.27,80.6,6.93
117,Lebu,100,CL,1587697995,88,-37.62,-73.65,55.4,15.05
118,Talnakh,40,RU,1587698171,100,69.49,88.4,35.6,13.42
119,Antalya Province,75,TR,1587698171,82,36.77,30.72,60.8,1.12
